source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,text_cleaned,emotional_state
Twitter for iPhone,Republican Approval Rating just hit 93%. Sorry Haters! MAKE AMERICA GREAT AGAIN!,3/5/19 14:15,36888,157934,False,1.1e+18,republican approval rating hit 93 sorry haters make america great,"[[[1.    0.449 0.805 0.658]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.663 0.679 0.637]
  [0.    0.    0.    0.   ]
  [0.5   0.663 0.679 0.637]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]]]"
Twitter for iPhone,PRESIDENTIAL HARASSMENT!,3/5/19 14:12,26752,113151,False,1.1e+18,presidential harassment,"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
Twitter for iPhone,The greatest overreach in the history of our Country. The Dems are obstructing justice and will not get anything done. A big fat fishing expedition desperately in search of a crime when in fact the real crime is what the Dems are doing and have done!,3/5/19 14:11,26322,104040,False,1.1e+18,greatest overreach history country dems obstructing justice get anything done big fat fishing expedition desperately search crime fact real crime dems done,"[[[0.28571429 0.071      0.943      0.63      ]
  [0.14285714 0.735      0.802      0.62      ]
  [0.14285714 0.198      0.353      0.237     ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.14285714 0.198      0.353      0.237     ]
  [0.         0.         0.         0.        ]
  [0.42857143 0.72066667 0.46033333 0.70733333]]]"
Twitter for iPhone,“HIV Is Cured In 2nd Patient Doctors Report.” @nytimes  Such great news for so many. Tremendous progress being made!,3/5/19 13:22,27697,117101,False,1.1e+18,hiv cured 2nd patient doctors report great news many tremendous progress made,"[[[0.     0.     0.     0.    ]
  [1.     0.7315 0.4175 0.6085]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.5    0.88   0.642  0.877 ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]]]"
Twitter for iPhone,Now that they realize the only Collusion with Russia was done by Crooked Hillary Clinton &amp; the Democrats Nadler Schiff and the Dem heads of the Committees have gone stone cold CRAZY. 81 letter sent to innocent people to harass them. They won’t get ANYTHING done for our Country!,3/5/19 13:14,27641,102272,False,1.1e+18,realize collusion russia done crooked hillary clinton amp democrats nadler schiff dem heads committees gone stone cold crazy 81 letter sent innocent people harass get anything done country,"[[[0.66666667 0.22425    0.57775    0.4755    ]
  [0.16666667 0.635      0.279      0.342     ]
  [0.33333333 0.2625     0.6425     0.51      ]
  [0.33333333 0.2605     0.6765     0.3605    ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.2605     0.6765     0.3605    ]
  [0.         0.         0.         0.        ]
  [0.16666667 0.729      0.206      0.34      ]]]"
Twitter for iPhone,@StarParker is indeed a “Star!” Thank you. Center for Urban Renewal &amp; Ed. @JesseBWatters @LauraIngram,3/5/19 4:44,960,4712,False,1.1e+18,indeed star thank center urban renewal amp ed,"[[[0.     0.     0.     0.    ]
  [0.5    0.833  0.418  0.56  ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.5    0.833  0.418  0.56  ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [1.     0.738  0.3245 0.4955]]]"
Twitter for iPhone,Representative Ilhan Omar is again under fire for her terrible comments concerning Israel. Jewish groups have just sent a petition to Speaker Pelosi asking her to remove Omar from Foreign Relations Committee. A dark day for Israel!,3/5/19 4:33,30339,121553,False,1.1e+18,representative ilhan omar fire terrible comments concerning israel jewish groups sent petition speaker pelosi asking remove omar foreign relations committee dark day israel,"[[[0.4        0.1765     0.694      0.538     ]
  [0.         0.         0.         0.        ]
  [0.2        0.061      0.849      0.604     ]
  [0.6        0.24433333 0.73066667 0.57033333]
  [0.         0.         0.         0.        ]
  [0.6        0.18366667 0.59533333 0.50066667]
  [0.         0.         0.         0.        ]
  [0.2        0.592      0.392      0.721     ]]]"
Twitter for iPhone,“We the people will now be subjected to the biggest display of modern day McCarthyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get power back so they can institute Socialism.” @seanhannity,3/5/19 3:50,30312,111946,False,1.1e+18,people subjected biggest display modern day mccarthyism widest fishing net expedition every aspect presidents life order get power back institute socialism,"[[[0.    0.    0.    0.   ]
  [0.25  0.735 0.802 0.62 ]
  [0.25  0.51  0.5   0.56 ]
  [0.25  0.51  0.5   0.56 ]
  [0.    0.    0.    0.   ]
  [0.25  0.286 0.52  0.221]
  [0.    0.    0.    0.   ]
  [0.25  0.604 0.48  0.807]]]"
Twitter for iPhone,“We the people will now be subjected to the biggest display of modern day McCathyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get power back so they can institute Socialism.” @seanhannity,3/5/19 3:40,2534,8019,False,1.1e+18,people subjected biggest display modern day mccathyism widest fishing net expedition every aspect presidents life order get power back institute socialism,"[[[0.    0.    0.    0.   ]
  [0.25  0.735 0.802 0.62 ]
  [0.25  0.51  0.5   0.56 ]
  [0.25  0.51  0.5   0.56 ]
  [0.    0.    0.    0.   ]
  [0.25  0.286 0.52  0.221]
  [0.    0.    0.    0.   ]
  [0.25  0.604 0.48  0.807]]]"
Twitter for iPhone,RT @JudicialWatch: Right now our borders are being used as gateways for drug cartels &amp; violent criminals – each day adding to the millions…,3/5/19 2:24,11024,0,True,1.1e+18,rt right borders used gateways drug cartels amp violent criminals day adding millions,"[[[1.    0.112 0.918 0.616]
  [0.    0.    0.    0.   ]
  [1.    0.112 0.918 0.616]
  [1.    0.112 0.918 0.616]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.112 0.918 0.616]
  [0.    0.    0.    0.   ]]]"
Twitter for iPhone,.... Amazon like the Washington Post. It’s hard to remember that not so long ago America had prestige media outlets but not anymore.” @TuckerCarlson   The Fake News Media is the true Enemy of the People!,3/5/19 2:10,17950,72408,False,1.1e+18,amazon like washington post hard remember long ago america prestige media outlets anymore fake news media true enemy people,"[[[0.33333333 0.135      0.794      0.591     ]
  [0.33333333 0.541      0.353      0.543     ]
  [0.33333333 0.135      0.794      0.591     ]
  [0.33333333 0.135      0.794      0.591     ]
  [0.33333333 0.918      0.594      0.907     ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.918      0.594      0.907     ]]]"
Twitter for iPhone,“The American Media has changed forever. News organizations that seemed like a big deal are now extinct.  Those that remain have now degraded themselves beyond recognition like the New Yorker - or they’ve been purchased by Jeff Bezos to conduct unregistered lobbying for.........,3/5/19 2:04,23108,94580,False,1.1e+18,american media changed forever news organizations seemed like big deal extinct remain degraded beyond recognition like new yorker purchased jeff bezos conduct unregistered lobbying,"[[[0.    0.    0.    0.   ]
  [0.5   0.719 0.599 0.543]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.719 0.599 0.543]
  [0.5   0.112 0.491 0.412]
  [0.5   0.719 0.599 0.543]
  [0.5   0.719 0.599 0.543]]]"
Twitter for iPhone,Presidential Harassment! https://t.co/2Cz5ckERcs,3/5/19 1:59,19357,61713,False,1.1e+18,presidential harassment,"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
Twitter for iPhone,"RT @WhiteHouse: President Trump's message to those affected by the tornadoes in the Gulf states: ""We grieve by your side and we pledge our…",3/4/19 20:53,12159,0,True,1.1e+18,rt president trump message affected tornadoes gulf states grieve side pledge,"[[[0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.25   0.122  0.5    0.333 ]
  [0.25   0.719  0.49   0.764 ]
  [0.25   0.122  0.5    0.333 ]
  [0.25   0.64   0.716  0.898 ]
  [0.5    0.698  0.556  0.8685]]]"
Twitter for iPhone,“There is no Collusion. All of these investigations are in search of a crime. Democrats have no evidence to impeach President Trump. Ridiculous!” @DevinNunes @FoxNews,3/4/19 20:17,19784,83189,False,1.1e+18,collusion investigations search crime democrats evidence impeach president trump ridiculous,"[[[0.5        0.19833333 0.68233333 0.425     ]
  [0.         0.         0.         0.        ]
  [0.5        0.244      0.62666667 0.43633333]
  [0.33333333 0.2865     0.643      0.532     ]
  [0.         0.         0.         0.        ]
  [0.16666667 0.365      0.51       0.4       ]
  [0.16666667 0.64       0.716      0.898     ]
  [0.16666667 0.677      0.622      0.973     ]]]"
Twitter for iPhone,“Now that the Dems are going to try &amp; switch from Collusion to some other reason it makes them continue to look like sore losers who didn’t accept the WILL OF THE PEOPLE in the last election - they will do anything to get rid of the President.” @AriFleischer It will never work!,3/4/19 20:06,25894,101802,False,1.1e+18,dems going try amp switch collusion reason makes continue look like sore losers accept people last election anything get rid president never work,"[[[0.5    0.2295 0.58   0.312 ]
  [0.25   0.63   0.427  0.612 ]
  [0.25   0.365  0.51   0.4   ]
  [0.25   0.365  0.51   0.4   ]
  [0.     0.     0.     0.    ]
  [0.5    0.2295 0.58   0.312 ]
  [0.     0.     0.     0.    ]
  [0.5    0.6535 0.5245 0.7925]]]"
